Team,Year,Win/Loss,Home/Away,Date,Opponent,SP,Kills,Errors,Attack Attempts,Hitting percentage,Assists,Service Aces,Service errors,Reception Errors,Digs,Block solo,Block assists,Blocking errors,Total Blocks,BHE,,,,,
Augustana,2019,0,0,Sep 20 ,at Northern St.  ,4 ,51 ,27 ,161 ,.149 ,47 ,9 ,6 ,2 ,52 ,2 ,18 ,0 ,11.0 ,0 ,,,,,
Augustana,2019,1,0,Sep 21 ,at MSU Moorhead  ,4 ,57 ,16 ,135 ,.304 ,49 ,8 ,13 ,3 ,64 ,0 ,10 ,2 ,5.0 ,0 ,,,,,
Augustana,2019,0,0,Sep 24 ,at Wayne St. (NE)  ,4 ,44 ,19 ,168 ,.149 ,38 ,6 ,11 ,6 ,81 ,1 ,8 ,1 ,5.0 ,0 ,,,,,
Augustana,2019,1,1,Sep 27 ,MARY  ,3 ,43 ,9 ,102 ,.333 ,39 ,6 ,4 ,2 ,56 ,1 ,12 ,0 ,7.0 ,1 ,,,,,
Augustana,2019,1,1,Sep 28 ,MINOT ST.  ,4 ,64 ,21 ,159 ,.270 ,58 ,6 ,5 ,2 ,73 ,2 ,6 ,0 ,5.0 ,1 ,,,,,
Augustana,2019,0,1,Oct. 4 ,CONCORDIA-ST. PAUL  ,4 ,36 ,21 ,131 ,.115 ,31 ,3 ,5 ,10 ,58 ,2 ,14 ,0 ,9.0 ,4 ,,,,,
Augustana,2019,1,1,Oct. 5 ,MINNESOTA ST.  ,3 ,43 ,16 ,113 ,.239 ,42 ,4 ,4 ,1 ,50 ,1 ,12 ,0 ,7.0 ,1 ,,,,,
Augustana,2019,0,0,Oct 11 ,at Upper Iowa  ,3 ,28 ,21 ,114 ,.061 ,26 ,1 ,5 ,2 ,44 ,0 ,2 ,0 ,1.0 ,3 ,,,,,
Augustana,2019,0,0,Oct 12 ,at Winona St.  ,5 ,51 ,22 ,173 ,.168 ,50 ,13 ,5 ,3 ,63 ,2 ,16 ,0 ,10.0 ,0 ,,,,,
Augustana,2019,0,0,Oct 15 ,at Sioux Falls  ,5 ,60 ,27 ,171 ,.193 ,59 ,4 ,3 ,7 ,71 ,0 ,16 ,2 ,8.0 ,1 ,,,,,
Augustana,2019,1,1,Oct 18 ,ST. CLOUD ST.  ,3 ,39 ,8 ,124 ,.250 ,35 ,3 ,5 ,2 ,61 ,1 ,20 ,0 ,11.0 ,0 ,,,,,
Augustana,2019,0,1,Oct 19 ,MINN. DULUTH  ,3 ,32 ,16 ,111 ,.144 ,28 ,5 ,4 ,7 ,44 ,0 ,8 ,4 ,4.0 ,0 ,,,,,
